id,date,amount,info
2926,2021-02-24,102700,
2927,2021-01-15,98300,
2928,2020-08-31,127700,
2929,2021-04-06,89800,
2930,2020-08-25,46500,
2931,2020-08-22,173000,
2932,2020-08-11,167700,
2933,2020-10-02,31000,
2934,2021-04-07,159600,
2935,2021-03-28,64400,
2936,2021-01-06,187900,
2937,2020-11-26,124700,
2938,2021-03-05,191200,
2939,2020-12-29,121000,
2940,2021-01-15,128000,
2941,2021-01-02,175100,
2942,2021-01-26,87000,
2943,2021-04-08,148100,
2944,2020-08-10,195200,
2945,2020-11-27,176000,
2946,2020-10-25,155800,
2947,2020-11-19,198800,
2948,2020-10-21,112900,
2949,2021-03-04,157000,
2950,2020-07-20,121500,
2951,2020-12-30,61300,
2952,2020-07-13,95700,
2953,2020-11-01,120100,
2954,2020-12-04,186600,
2955,2021-03-04,117400,
2956,2020-08-07,173000,
2957,2021-01-28,50300,
2958,2020-12-23,194500,
2959,2020-12-08,63100,
2960,2021-03-27,111600,
2961,2020-12-30,120900,
2962,2020-12-05,58500,
2963,2020-08-10,144200,
2964,2020-11-30,110800,
2965,2020-11-22,192700,
2966,2020-09-28,147100,
2967,2020-08-25,169700,
2968,2020-09-28,90000,
2969,2020-12-27,158100,
2970,2021-01-28,181700,
2971,2021-02-03,84000,
2972,2020-09-21,115600,
2973,2021-03-21,157800,
2974,2020-12-05,92700,
2975,2020-08-25,155900,
2976,2020-07-10,163900,
2977,2020-09-06,142400,
2978,2021-03-10,84600,
2979,2020-10-20,121100,
2980,2020-07-11,34200,
2981,2020-09-10,115600,
2982,2021-01-01,88300,
2983,2021-02-19,99200,
2984,2020-12-28,139100,
2985,2020-07-22,141400,
2986,2020-12-18,174900,
2987,2021-04-03,177200,
2988,2020-08-29,196300,
2989,2020-08-29,69400,
2990,2020-09-15,185300,
2991,2021-01-29,178000,
2992,2021-03-09,174100,
2993,2020-10-06,18800,
2994,2020-10-09,94100,
2995,2021-02-11,156800,
2996,2020-12-07,136100,
2997,2021-02-02,53400,
2998,2020-08-30,181300,
2999,2020-08-13,112900,
3000,2020-11-18,172200,
3001,2021-03-13,190000,
3002,2021-02-07,99900,
3003,2020-11-02,124900,
3004,2021-02-13,183700,
3005,2020-10-06,127500,
3006,2020-09-08,190000,
3007,2020-08-07,127600,
3008,2021-03-28,22800,
3009,2020-08-28,61800,
3010,2020-12-24,61500,
3011,2020-11-09,37400,
3012,2021-01-09,168700,
3013,2020-12-07,57200,
3014,2021-02-20,184900,
3015,2020-11-27,37500,
3016,2020-07-12,40500,
3017,2020-12-24,57600,
3018,2020-11-24,161300,
3019,2020-11-09,174000,
3020,2020-09-25,76300,
3021,2020-07-12,181000,
3022,2020-12-26,67100,
3023,2020-07-28,168200,
3024,2020-06-25,127000,
3025,2021-02-19,14500,
3026,2021-01-02,131800,
3027,2020-11-08,83000,
3028,2020-10-21,106400,
3029,2020-12-26,23300,
3030,2021-01-01,110800,
3031,2020-08-02,179200,
3032,2021-03-30,80700,
3033,2021-04-19,136800,
3034,2021-04-18,155400,
3035,2020-07-29,147900,
3036,2020-07-29,105800,
3037,2021-03-05,38600,
3038,2020-07-05,166100,
3039,2021-02-08,165100,
3040,2020-10-05,80000,
3041,2021-04-02,134500,
3042,2020-07-10,62200,
3043,2021-03-07,52200,
3044,2021-01-29,57500,
3045,2020-08-29,96000,
3046,2020-07-31,133300,
3047,2020-09-15,198600,
3048,2020-10-18,178300,
3049,2020-12-06,127100,
3050,2020-11-17,185600,
3051,2021-03-02,57700,
3052,2020-11-15,82300,
3053,2021-02-23,148900,
3054,2020-11-29,57800,
3055,2021-04-05,88200,
3056,2020-12-12,112400,
3057,2020-12-27,32700,
3058,2020-10-19,95100,
3059,2020-10-24,153800,
3060,2021-02-23,199400,
3061,2020-11-01,144800,
3062,2020-07-12,19400,
3063,2021-02-17,99000,
3064,2021-01-31,21800,
3065,2020-11-06,11700,
3066,2020-12-30,184600,
3067,2021-01-20,176400,
3068,2020-08-21,162200,
3069,2020-09-22,79400,
3070,2020-12-31,125200,
3071,2020-11-05,138500,
3072,2021-04-15,152700,
3073,2020-07-04,36900,
3074,2021-04-05,152800,
3075,2020-11-04,117600,
3076,2020-10-16,152600,
3077,2020-11-10,176900,
3078,2020-09-21,158200,
3079,2021-02-20,110900,
3080,2021-03-08,126000,
3081,2021-02-14,55900,
3082,2020-10-23,88400,
3083,2021-03-28,179700,
3084,2020-07-06,125300,
3085,2021-04-16,145600,
3086,2020-08-21,153700,
3087,2020-12-29,160600,
3088,2021-02-21,124100,
3089,2020-12-26,108400,
3090,2020-06-29,163100,
3091,2020-12-31,38600,
3092,2020-09-23,144000,
3093,2020-07-11,105800,
3094,2021-01-16,129200,
3095,2020-09-17,71400,
3096,2021-04-02,69800,
3097,2021-01-13,84800,
3098,2021-01-28,116800,
3099,2020-10-21,137700,
3100,2020-11-10,58300,
3101,2020-10-12,38400,
3102,2021-01-12,147900,
3103,2020-12-29,90200,
3104,2021-03-19,10100,
3105,2021-02-26,105300,
3106,2020-12-03,62800,
3107,2021-03-01,121700,
3108,2021-04-05,90100,
3109,2021-02-09,45900,
3110,2021-04-09,33100,
3111,2020-12-06,88900,
3112,2020-12-27,199200,
3113,2020-12-11,89000,
3114,2020-08-18,154000,
3115,2021-03-28,118300,
3116,2021-01-25,164000,
3117,2020-11-05,187300,
3118,2020-10-12,177300,
3119,2020-09-05,163400,
3120,2021-02-06,70400,
3121,2021-02-21,133500,
3122,2020-10-02,87900,
3123,2020-10-24,176000,
3124,2021-04-15,10200,
3125,2020-08-21,80500,
3126,2021-02-25,127500,
3127,2020-11-27,18800,
3128,2021-01-01,33400,
3129,2021-01-28,145100,
3130,2020-09-14,74100,
3131,2020-11-03,162600,
3132,2020-10-24,99300,
3133,2020-10-29,33700,
3134,2021-04-02,62300,
3135,2020-07-17,187400,
3136,2021-03-01,110000,
3137,2020-10-08,105800,
3138,2020-10-17,159300,
3139,2021-01-21,160000,
3140,2020-09-10,12500,
3141,2020-07-01,46500,
3142,2020-12-31,198000,
3143,2020-09-10,131900,
3144,2020-07-16,63900,
3145,2020-11-18,26700,
3146,2021-03-27,69500,
3147,2020-06-24,116200,
3148,2021-02-11,44200,
3149,2020-08-13,12100,
3150,2020-12-24,120400,
3151,2021-01-28,86100,
3152,2021-03-16,176200,
3153,2020-12-06,63700,
3154,2020-10-31,193700,
3155,2020-10-13,104700,
3156,2021-03-07,15300,
3157,2020-07-27,18200,
3158,2020-09-28,82600,
3159,2020-11-09,120600,
3160,2020-10-25,116600,
3161,2020-08-14,149200,
3162,2020-07-01,53700,
3163,2020-06-30,150300,
3164,2021-04-07,56900,
3165,2020-09-27,55200,
3166,2020-08-22,93200,
3167,2020-09-07,161300,
3168,2020-12-13,123500,
3169,2021-02-25,160200,
3170,2020-09-29,175600,
3171,2021-01-10,69000,
3172,2020-11-22,120400,
3173,2021-01-09,66900,
3174,2020-11-10,171300,
3175,2020-11-28,73400,
3176,2021-03-17,138100,
3177,2021-04-06,32000,
3178,2021-04-18,80000,
3179,2020-11-21,175400,
3180,2020-10-02,98700,
3181,2021-01-01,176200,
3182,2021-02-26,25900,
3183,2020-07-20,113900,
3184,2020-07-23,198600,
3185,2020-08-17,152100,
3186,2020-08-27,90000,
3187,2020-07-05,55200,
3188,2021-02-09,161700,
3189,2020-12-22,56800,
3190,2021-04-14,155900,
3191,2020-07-18,64200,
3192,2020-08-10,31400,
3193,2020-11-21,55700,
3194,2021-01-28,85200,
3195,2020-09-18,137000,
3196,2021-03-18,14800,
3197,2020-12-06,111800,
3198,2021-02-10,178400,
3199,2020-08-01,112800,
3200,2020-07-11,32500,
3201,2021-04-04,18000,
3202,2020-10-05,25700,
3203,2020-12-21,150000,
3204,2020-11-19,176500,
3205,2021-02-10,92800,
3206,2020-08-03,137700,
3207,2020-07-24,73900,
3208,2021-04-15,162500,
3209,2021-04-12,44500,
3210,2020-07-23,51100,
3211,2020-09-22,157600,
3212,2020-07-10,10100,
3213,2020-11-27,188200,
3214,2021-03-03,39700,
3215,2020-08-25,128200,
3216,2020-11-18,172800,
3217,2021-02-04,182900,
3218,2021-02-17,57300,
3219,2021-01-05,60900,
3220,2021-03-01,67800,
3221,2021-01-22,167000,
3222,2020-08-06,99700,
3223,2020-06-25,40400,
3224,2020-08-31,163100,
3225,2020-10-31,118700,
3226,2020-10-15,20100,
3227,2020-07-30,87900,
3228,2021-02-09,26300,
3229,2020-11-14,139500,
3230,2021-02-27,50700,
3231,2021-03-03,100600,
3232,2021-02-22,94900,
3233,2020-06-27,166000,
3234,2021-03-15,81300,
3235,2020-08-29,99100,
3236,2021-01-19,138000,
3237,2021-04-02,52700,
3238,2020-10-10,59000,
3239,2021-01-07,23500,
3240,2020-06-24,161200,
3241,2021-01-28,67400,
3242,2020-07-16,161800,
3243,2020-08-19,110400,
3244,2020-11-27,113800,
3245,2020-09-23,192300,
3246,2021-02-12,49400,
3247,2021-01-18,28300,
3248,2021-01-16,191100,
3249,2021-01-24,86600,
3250,2021-02-18,169500,
3251,2020-10-07,18900,
3252,2020-06-24,69200,
3253,2020-08-08,109100,
3254,2021-02-08,119700,
3255,2020-08-25,145400,
3256,2020-07-02,72700,
3257,2020-11-03,139100,
3258,2020-07-01,116400,
3259,2020-08-11,144600,
3260,2020-10-12,91300,
3261,2021-01-26,65700,
3262,2020-10-01,80000,
3263,2021-01-17,36400,
3264,2020-07-12,111900,
3265,2020-09-24,126800,
3266,2020-08-17,45800,
3267,2021-04-10,103500,
3268,2020-08-07,147300,
3269,2021-03-12,154200,
3270,2020-12-23,176600,
3271,2020-08-06,131800,
3272,2020-12-15,27800,
3273,2021-02-27,90900,
3274,2020-10-06,188200,
3275,2021-02-11,130000,
3276,2021-03-28,23300,
3277,2021-02-17,49200,
3278,2020-07-11,130200,
3279,2021-04-12,126700,
3280,2020-11-16,89900,
3281,2021-01-15,19600,
3282,2020-08-02,98300,
3283,2020-08-19,189300,
3284,2020-09-30,143600,
3285,2020-07-19,23800,
3286,2021-02-12,46600,
3287,2021-02-25,112000,
3288,2020-07-18,25100,
3289,2020-11-27,182600,
3290,2020-11-24,73800,
3291,2020-11-06,107600,
3292,2021-04-09,73900,
3293,2020-09-10,129100,
3294,2021-04-01,105000,
3295,2020-09-02,73500,
3296,2021-01-09,106900,
3297,2021-01-18,115500,
3298,2020-10-08,62700,
3299,2020-09-09,103500,
3300,2020-12-24,189500,
3301,2020-08-17,128900,
3302,2021-03-15,15500,
3303,2020-12-31,183500,
3304,2020-10-02,191300,
3305,2020-11-03,22800,
3306,2020-07-25,130600,
3307,2020-09-02,188400,
3308,2021-01-04,72700,
3309,2021-01-08,62200,
3310,2021-01-26,131700,
3311,2021-04-11,12300,
3312,2020-12-27,160000,
3313,2020-10-27,136200,
3314,2021-04-05,47200,
3315,2020-10-02,62400,
3316,2021-03-11,82300,
3317,2020-11-22,170200,
3318,2021-02-09,74400,
3319,2020-10-10,35200,
3320,2020-12-10,136000,
3321,2020-07-18,190400,
3322,2020-10-04,89100,
3323,2020-08-05,118100,
3324,2021-02-03,71300,
3325,2020-11-03,186900,
3326,2021-03-02,107000,
3327,2021-01-16,48700,
3328,2021-02-20,49800,
3329,2021-03-16,59400,
3330,2021-03-13,66100,
3331,2020-10-20,86500,
3332,2020-10-28,170400,
3333,2020-07-11,144800,
3334,2020-07-30,54300,
3335,2020-09-25,140500,
3336,2021-01-22,116500,
3337,2021-03-19,60100,
3338,2021-01-30,190900,
3339,2021-01-02,136800,
3340,2021-03-04,12400,
3341,2020-11-08,121800,
3342,2020-08-07,59100,
3343,2020-07-09,32400,
3344,2020-07-28,172400,
3345,2021-01-03,184700,
3346,2020-10-25,135800,
3347,2020-08-20,135700,
3348,2020-12-13,77200,
3349,2020-12-02,184000,
3350,2020-07-26,107000,
3351,2020-11-08,117400,
3352,2020-10-04,23500,
3353,2020-08-19,89700,
3354,2021-02-02,75300,
3355,2020-07-26,117600,
3356,2020-10-01,147200,
3357,2021-03-17,102800,
3358,2021-03-08,187000,
3359,2021-04-19,102900,
3360,2020-12-09,158600,
3361,2020-09-07,139800,
3362,2020-12-24,100900,
3363,2020-08-23,131500,
3364,2020-11-28,49800,
3365,2021-01-28,45700,
3366,2020-11-01,62900,
3367,2020-10-19,159800,
3368,2020-12-26,154500,
3369,2020-09-13,189200,
3370,2020-07-17,21600,
3371,2021-01-01,101200,
3372,2021-03-14,16600,
3373,2021-02-27,56100,
3374,2020-10-22,66700,
3375,2021-03-11,140100,
3376,2020-10-10,81500,
3377,2021-01-06,56400,
3378,2020-12-07,18600,
3379,2020-10-06,48300,
3380,2020-11-10,31000,
3381,2021-04-16,182600,
3382,2020-09-27,153000,
3383,2020-07-20,134700,
3384,2020-07-19,173800,
3385,2021-02-15,42600,
3386,2021-02-22,116700,
3387,2021-03-12,173100,
3388,2021-03-02,57400,
3389,2020-12-02,119300,
3390,2020-10-20,97000,
3391,2021-01-24,166300,
3392,2020-11-29,174400,
3393,2020-11-03,31100,
3394,2021-01-27,107000,
3395,2021-03-26,177900,
3396,2020-06-29,82100,
3397,2020-09-21,94700,
3398,2020-12-12,111300,
3399,2020-10-04,182500,
3400,2021-02-03,40000,
3401,2020-06-25,43900,
3402,2020-07-23,136600,
3403,2021-03-16,169500,
3404,2020-12-21,67900,
3405,2020-08-30,112500,
3406,2020-12-19,22200,
3407,2021-04-02,184000,
3408,2021-04-10,13200,
3409,2020-09-21,50900,
3410,2020-11-11,11200,
3411,2020-10-14,143900,
3412,2020-09-02,16800,
3413,2020-10-30,138800,
3414,2020-12-08,18600,
3415,2021-01-29,13600,
3416,2020-12-02,87000,
3417,2020-10-26,89700,
3418,2020-09-25,31200,
3419,2020-06-28,177700,
3420,2020-09-04,50300,
3421,2020-07-12,116200,
3422,2020-11-26,46100,
3423,2020-07-08,32100,
3424,2020-10-16,128900,
3425,2021-04-13,56300,
3426,2020-10-20,54000,
3427,2021-01-07,177200,
3428,2021-02-07,162200,
3429,2020-09-22,102900,
3430,2020-10-16,130800,
3431,2021-02-23,136900,
3432,2020-06-26,68500,
3433,2021-03-06,80200,
3434,2021-03-23,104100,
3435,2020-11-07,184000,
3436,2021-03-23,190400,
3437,2020-08-30,61500,
3438,2020-09-04,138900,
3439,2020-07-13,53400,
3440,2020-12-23,77300,
3441,2020-07-22,17600,
3442,2021-03-02,33900,
3443,2020-09-04,55400,
3444,2021-03-04,73800,
3445,2020-10-15,51200,
3446,2020-07-29,20900,
3447,2020-11-14,129500,
3448,2020-10-21,67400,
3449,2021-02-02,52100,
3450,2020-12-20,92400,
3451,2020-07-14,168900,
3452,2020-07-14,115000,
3453,2021-02-22,96100,
3454,2020-08-05,58300,
3455,2021-01-05,131600,
3456,2020-11-03,17300,
3457,2020-07-01,173200,
3458,2021-04-14,64900,
3459,2021-03-24,128600,
3460,2021-03-18,48400,
3461,2021-04-04,143300,
3462,2020-10-06,69800,
3463,2020-08-23,75500,
3464,2021-02-23,39600,
3465,2020-11-23,154600,
3466,2021-04-07,55700,
3467,2021-02-28,146100,
3468,2021-03-15,147500,
3469,2020-10-04,171200,
3470,2020-08-27,89900,
3471,2020-12-05,141100,
3472,2020-12-20,161000,
3473,2020-07-25,30000,
3474,2020-10-30,69700,
3475,2021-02-24,140700,
3476,2020-12-03,96700,
3477,2020-11-11,196000,
3478,2020-08-02,173600,
3479,2021-01-04,76500,
3480,2020-06-26,48500,
3481,2020-09-07,146700,
3482,2020-07-09,47100,
3483,2021-01-13,13300,
3484,2020-08-31,40400,
3485,2021-01-16,111300,
3486,2021-04-17,98000,
3487,2020-07-13,159300,
3488,2020-08-20,151300,
3489,2020-08-08,25600,
3490,2021-02-07,156100,
3491,2020-07-11,16200,
3492,2021-04-04,121000,
3493,2020-10-24,110900,
3494,2020-11-06,198600,
3495,2021-01-22,148000,
3496,2020-12-28,135500,
3497,2020-11-02,124500,
3498,2020-12-02,101600,
3499,2020-09-02,152400,
3500,2020-10-11,15100,
3501,2020-07-13,107000,
3502,2020-12-29,94500,
3503,2021-04-07,55000,
3504,2021-01-27,113200,
3505,2020-11-27,80700,
3506,2020-12-28,87200,
3507,2021-01-14,92900,
3508,2020-11-14,28900,
3509,2020-12-12,89500,
3510,2021-02-16,79100,
3511,2021-03-31,50100,
3512,2020-10-12,85100,
3513,2020-11-05,45700,
3514,2021-02-21,53600,
3515,2020-12-08,27900,
3516,2020-12-30,187200,
3517,2020-08-09,184200,
3518,2020-06-25,126700,
3519,2020-08-08,150300,
3520,2020-12-31,101400,
3521,2020-09-30,15600,
3522,2020-07-12,16900,
3523,2020-11-30,75700,
3524,2020-11-21,100600,
3525,2021-02-28,38300,
3526,2020-11-17,100300,
3527,2020-06-27,87200,
3528,2020-11-09,78600,
3529,2021-03-18,52600,
3530,2020-08-20,141500,
3531,2020-07-11,90600,
3532,2020-09-26,72400,
3533,2020-06-30,122900,
3534,2021-03-09,41300,
3535,2021-02-14,26600,
3536,2021-03-18,23600,
3537,2020-08-06,19100,
3538,2020-12-24,170700,
3539,2020-11-29,122100,
3540,2020-12-30,100500,
3541,2020-11-30,159900,
3542,2020-07-08,77600,
3543,2020-12-20,28600,
3544,2020-11-21,90700,
3545,2020-12-04,127300,
3546,2020-11-16,140000,
3547,2020-10-02,16800,
3548,2020-09-19,21600,
3549,2021-01-10,157300,
3550,2020-08-21,185800,
3551,2020-07-20,30300,
3552,2021-02-01,51300,
3553,2020-08-29,192900,
3554,2020-08-25,196900,
3555,2021-03-15,97200,
3556,2021-04-12,21200,
3557,2021-03-30,58500,
3558,2020-09-20,132700,
3559,2020-07-28,129600,
3560,2020-10-14,146600,
3561,2020-07-02,37000,
3562,2021-03-07,154600,
3563,2020-11-04,114900,
3564,2020-09-24,33600,
3565,2020-09-09,163200,
3566,2021-03-14,69100,
3567,2021-02-14,181500,
3568,2021-02-12,119400,
3569,2020-12-05,166300,
3570,2021-01-07,146300,
3571,2020-10-09,113700,
3572,2021-02-19,115300,
3573,2020-08-31,180600,
3574,2020-09-27,149100,
3575,2021-02-12,30000,
3576,2020-08-03,49600,
3577,2021-02-09,36400,
3578,2020-10-19,62000,
3579,2020-10-16,87800,
3580,2020-12-22,132500,
3581,2020-08-09,95600,
3582,2021-03-21,58000,
3583,2020-11-17,164500,
3584,2021-03-20,70200,
3585,2020-12-05,70300,
3586,2020-08-09,68600,
3587,2020-11-05,25700,
3588,2021-04-15,14800,
3589,2021-02-10,45200,
3590,2020-09-16,166300,
3591,2020-10-19,147500,
3592,2020-07-30,47400,
3593,2021-01-05,161400,
3594,2020-08-18,75000,
3595,2020-08-09,24600,
3596,2021-03-02,71900,
3597,2021-03-27,41400,
3598,2020-08-01,98800,
3599,2020-12-21,186600,
3600,2020-11-30,69200,
3601,2021-01-17,78600,
3602,2020-10-25,20400,
3603,2021-03-13,140700,
3604,2020-11-09,199700,
3605,2020-12-23,50000,
3606,2020-08-19,185900,
3607,2021-01-11,73300,
3608,2020-06-29,42100,
3609,2020-08-26,23600,
3610,2021-03-14,52200,
3611,2020-12-24,193100,
3612,2021-04-16,11400,
3613,2020-09-04,87300,
3614,2021-04-13,148500,
3615,2020-09-04,59800,
3616,2020-06-30,115500,
3617,2020-09-26,165500,
3618,2021-01-08,185400,
3619,2020-08-17,27300,
3620,2020-10-13,24800,
3621,2020-08-19,133100,
3622,2021-04-01,152400,
3623,2020-11-22,191000,
3624,2021-03-19,144000,
3625,2020-12-11,183300,
3626,2020-11-27,122600,
3627,2020-09-04,116700,
3628,2020-08-25,119400,
3629,2020-10-19,199100,
3630,2020-07-06,106000,
3631,2021-02-05,63700,
3632,2020-10-26,23300,
3633,2020-07-25,151000,
3634,2020-07-10,47300,
3635,2020-10-26,191900,
3636,2020-09-09,152800,
3637,2020-12-30,30300,
3638,2021-03-26,164400,
3639,2020-08-19,123000,
3640,2021-01-10,126600,
3641,2020-10-09,101100,
3642,2020-07-08,198200,
3643,2020-07-31,198100,
3644,2020-10-28,144300,
3645,2020-08-07,185100,
3646,2021-01-31,16600,
3647,2020-06-30,159200,
3648,2020-12-22,71500,
3649,2020-10-13,122100,
3650,2021-04-01,136000,
3651,2021-01-03,88700,
3652,2020-08-19,60000,
3653,2020-09-05,173500,
3654,2021-01-28,25600,
3655,2021-01-14,178400,
3656,2020-08-18,111400,
3657,2020-12-23,177000,
3658,2020-11-24,188900,
3659,2021-02-13,146900,
3660,2020-10-08,169600,
3661,2021-04-08,174300,
3662,2020-09-06,59900,
3663,2021-01-01,109500,
3664,2021-01-01,152800,
3665,2021-03-02,182600,
3666,2020-11-30,187600,
3667,2020-07-12,145700,
3668,2020-10-15,113100,
3669,2020-08-05,52600,
3670,2020-08-26,111500,
3671,2020-12-10,59700,
3672,2020-12-12,26000,
3673,2021-01-08,121900,
3674,2021-04-05,97400,
3675,2021-01-04,181700,
3676,2021-03-04,98300,
3677,2020-07-01,168600,
3678,2021-04-11,142400,
3679,2020-12-16,17400,
3680,2021-02-01,105800,
3681,2020-12-16,176400,
3682,2021-03-07,175600,
3683,2021-04-11,105800,
3684,2020-09-05,74600,
3685,2020-06-27,39600,
3686,2020-11-09,70300,
3687,2020-08-06,49200,
3688,2020-09-03,11000,
3689,2020-10-18,160000,
3690,2020-12-31,16200,
3691,2021-02-03,30700,
3692,2020-11-15,151800,
3693,2021-03-09,179600,
3694,2021-03-13,91600,
3695,2020-08-12,180300,
3696,2020-11-29,114900,
3697,2021-01-24,56500,
3698,2021-03-03,101700,
3699,2020-12-01,63400,
3700,2021-04-06,79100,
3701,2020-09-24,80600,
3702,2020-08-03,71300,
3703,2021-03-15,73100,
3704,2021-01-31,102100,
3705,2020-11-24,14900,
3706,2021-04-04,112800,
3707,2020-11-22,130600,
3708,2020-11-12,16500,
3709,2020-07-06,119900,
3710,2020-12-10,39400,
3711,2020-07-26,120300,
3712,2020-07-21,54600,
3713,2020-10-07,18200,
3714,2020-09-16,151500,
3715,2020-11-19,158500,
3716,2020-11-14,80700,
3717,2020-12-16,115800,
3718,2021-01-06,198100,
3719,2021-02-19,193600,
3720,2021-04-12,86100,
3721,2020-08-09,178100,
3722,2020-09-19,126800,
3723,2021-04-15,170400,
3724,2020-08-03,154300,
3725,2020-10-04,50000,
3726,2020-11-26,170700,
3727,2021-02-10,179200,
3728,2020-11-25,27700,
3729,2020-09-04,103100,
3730,2021-03-11,170700,
3731,2020-08-08,83000,
3732,2021-03-01,185100,
3733,2020-08-26,62000,
3734,2021-03-26,136000,
3735,2020-08-13,130400,
3736,2021-02-09,108400,
3737,2020-09-05,101500,
3738,2020-12-16,108900,
3739,2020-07-19,80000,
3740,2020-09-01,168000,
3741,2020-11-12,100500,
3742,2020-07-02,134600,
3743,2020-12-15,117200,
3744,2021-03-08,33000,
3745,2021-03-03,98800,
3746,2020-11-07,135400,
3747,2020-08-07,73100,
3748,2020-08-08,186300,
3749,2020-12-14,77600,
3750,2020-10-21,146900,
3751,2021-01-10,73200,
3752,2020-11-23,195100,
3753,2021-03-01,168700,
3754,2020-09-10,189200,
3755,2021-01-05,198800,
3756,2020-09-21,129500,
3757,2020-07-19,123800,
3758,2020-07-28,110400,
3759,2021-02-24,39300,
3760,2021-04-10,183900,
3761,2021-01-29,118300,
3762,2020-08-20,167700,
3763,2021-02-05,57300,
3764,2020-08-18,142100,
3765,2020-07-19,120000,
3766,2020-12-10,151200,
3767,2020-12-15,135000,
3768,2020-12-01,31000,
3769,2020-09-03,85200,
3770,2020-11-17,69500,
3771,2020-07-06,69300,
3772,2020-10-21,97200,
3773,2021-01-23,117700,
3774,2020-06-26,144800,
3775,2020-10-28,58200,
3776,2021-03-26,26000,
3777,2020-11-25,125800,
3778,2020-08-26,84100,
3779,2020-11-14,74200,
3780,2020-10-07,24800,
3781,2020-09-23,146200,
3782,2020-08-03,49300,
3783,2021-02-17,50800,
3784,2020-12-10,90700,
3785,2020-07-29,54800,
3786,2021-02-25,142500,
3787,2020-08-07,93800,
3788,2020-10-01,10100,
3789,2021-03-08,122500,
3790,2021-03-26,171400,
3791,2020-12-12,187600,
3792,2020-11-01,44900,
3793,2020-08-15,34700,
3794,2020-11-27,118200,
3795,2020-07-14,56500,
3796,2021-04-18,189100,
3797,2020-07-15,49500,
3798,2021-01-15,77300,
3799,2020-11-10,22500,
3800,2020-09-13,101100,
3801,2020-11-28,119100,
3802,2020-12-10,52800,
3803,2021-03-19,60300,
3804,2020-06-30,143200,
3805,2020-12-12,161100,
3806,2020-12-13,106200,
3807,2020-09-26,35600,
3808,2020-07-12,187500,
3809,2020-08-31,160200,
3810,2020-12-15,133400,
3811,2020-07-04,169800,
3812,2021-03-04,156400,
3813,2020-10-04,34600,
3814,2020-11-18,13100,
3815,2021-03-07,39800,
3816,2020-10-31,76400,
3817,2020-09-26,81400,
3818,2021-03-01,25700,
3819,2020-11-03,142300,
3820,2020-11-09,132700,
3821,2020-09-29,186800,
3822,2021-02-25,155000,
3823,2020-10-06,160100,
3824,2020-11-22,31800,
3825,2021-02-03,37400,
3826,2020-06-30,194600,
3827,2020-08-24,119100,
3828,2020-09-26,174700,
3829,2020-09-26,131500,
3830,2020-08-01,28700,
3831,2020-10-29,148500,
3832,2020-09-04,149700,
3833,2021-01-04,27500,
3834,2021-02-22,141600,
3835,2020-11-05,86600,
3836,2020-12-29,146000,
3837,2020-10-23,61100,
3838,2021-02-20,164700,
3839,2020-08-15,167000,
3840,2021-03-29,46000,
3841,2020-11-06,193500,
3842,2020-08-19,139100,
3843,2021-02-22,185500,
3844,2021-04-02,60600,
3845,2021-04-04,104600,
3846,2021-03-18,142900,
3847,2021-03-25,107600,
3848,2020-09-26,40500,
3849,2020-09-12,110700,
3850,2020-12-11,164900,
3851,2021-03-01,11500,
3852,2020-09-28,198200,
3853,2021-01-04,120900,
3854,2020-11-10,179700,
3855,2021-04-15,175600,
3856,2021-01-10,166700,
3857,2020-10-30,186000,
3858,2021-01-13,188500,
3859,2020-10-15,108700,
3860,2020-11-05,178800,
3861,2020-08-25,12500,
3862,2020-12-08,57100,
3863,2020-07-16,82300,
3864,2020-12-18,62500,
3865,2021-02-18,116000,
3866,2020-11-17,169300,
3867,2021-01-28,149600,
3868,2021-01-17,160200,
3869,2020-06-26,114800,
3870,2020-08-03,74600,
3871,2021-04-07,73700,
3872,2021-03-21,19400,
3873,2020-08-18,79400,
3874,2020-06-28,57900,
3875,2020-11-11,91400,
3876,2020-10-23,173800,
3877,2021-03-05,101700,
3878,2021-04-17,56400,
3879,2021-03-14,176100,
3880,2020-11-13,11200,
3881,2020-11-24,57300,
3882,2020-08-03,124500,
3883,2020-10-31,60800,
3884,2020-10-27,174400,
3885,2021-02-21,108300,
3886,2021-03-24,130200,
3887,2021-04-09,194900,
3888,2020-07-28,126600,
3889,2020-12-03,85600,
3890,2021-02-20,93700,
3891,2021-01-25,184400,
3892,2020-12-24,90100,
3893,2020-08-03,129300,
3894,2020-10-05,156100,
3895,2020-09-23,111000,
3896,2020-07-07,27500,
3897,2021-03-07,124200,
3898,2020-07-26,37600,
3899,2020-07-17,63200,
3900,2020-06-29,189100,
3901,2020-12-16,173500,
3902,2021-03-21,166800,
3903,2021-03-12,58100,
3904,2021-01-16,58900,
3905,2020-08-28,69000,
3906,2020-06-29,47300,
3907,2021-03-01,66800,
3908,2021-03-18,94200,
3909,2020-10-17,78900,
3910,2021-02-13,154500,
3911,2020-08-14,30900,
3912,2020-08-17,113000,
3913,2020-11-20,154100,
3914,2020-10-10,30700,
3915,2020-07-19,165100,
3916,2020-11-13,103700,
3917,2020-08-29,173700,
3918,2020-07-12,143600,
3919,2021-01-08,58600,
3920,2021-02-16,141000,
3921,2021-04-15,38300,
3922,2021-03-30,199400,
3923,2021-04-03,157300,
3924,2020-08-18,186400,
